Council,No_Of_Connections,Month,Year,Type
Offaly,60,March,2008,County
Roscommon,59,March,2008,County
Sligo,53,March,2008,County
South Dublin,171,March,2008,County
South Tipperary,53,March,2008,County
Waterford,68,March,2008,County
Westmeath,91,March,2008,County
Wexford,151,March,2008,County
Carlow,94,April,2008,County
Cavan,75,April,2008,County
Clare,128,April,2008,County
Cork,404,April,2008,County
Donegal,239,April,2008,County
Dun Laoghaire,235,April,2008,County
Fingal,192,April,2008,County
Galway,213,April,2008,County
Kerry,170,April,2008,County
Kildare,170,April,2008,County
Kilkenny,102,April,2008,County
Laois,163,April,2008,County
Leitrim,88,April,2008,County
Limerick,153,April,2008,County
Longford,64,April,2008,County
Louth,86,April,2008,County
Mayo,201,April,2008,County
Meath,194,April,2008,County
Monaghan,59,April,2008,County
North Tipperary,69,April,2008,County
Offaly,72,April,2008,County
Roscommon,78,April,2008,County
Sligo,90,April,2008,County
South Dublin,246,April,2008,County
South Tipperary,74,April,2008,County
Waterford,144,April,2008,County
Westmeath,86,April,2008,County
Wexford,197,April,2008,County
Carlow,39,May,2008,County
Cavan,62,May,2008,County
Clare,97,May,2008,County
Cork,431,May,2008,County
Donegal,313,May,2008,County
Dun Laoghaire,185,May,2008,County
Fingal,189,May,2008,County
Galway,177,May,2008,County
Kerry,143,May,2008,County
Kildare,170,May,2008,County
Kilkenny,81,May,2008,County
Laois,118,May,2008,County
Leitrim,77,May,2008,County
Limerick,149,May,2008,County
Longford,55,May,2008,County
Louth,85,May,2008,County
Mayo,93,May,2008,County
Meath,170,May,2008,County
Monaghan,33,May,2008,County
North Tipperary,94,May,2008,County
Offaly,103,May,2008,County
Roscommon,62,May,2008,County
Sligo,114,May,2008,County
South Dublin,153,May,2008,County
South Tipperary,59,May,2008,County
Waterford,100,May,2008,County
Westmeath,153,May,2008,County
Wexford,200,May,2008,County
Carlow,51,June,2008,County
Cavan,92,June,2008,County
Clare,95,June,2008,County
Cork,483,June,2008,County
Donegal,174,June,2008,County
Dun Laoghaire,262,June,2008,County
Fingal,129,June,2008,County
Galway,112,June,2008,County
Kerry,132,June,2008,County
Kildare,132,June,2008,County
Kilkenny,122,June,2008,County
Laois,70,June,2008,County
Leitrim,42,June,2008,County
Limerick,105,June,2008,County
Longford,34,June,2008,County
Louth,90,June,2008,County
Mayo,172,June,2008,County
Meath,219,June,2008,County
Monaghan,69,June,2008,County
North Tipperary,81,June,2008,County
Offaly,41,June,2008,County
Roscommon,92,June,2008,County
Sligo,82,June,2008,County
South Dublin,144,June,2008,County
South Tipperary,88,June,2008,County
Waterford,73,June,2008,County
Westmeath,53,June,2008,County
Wexford,123,June,2008,County
Carlow,43,July,2008,County
Cavan,129,July,2008,County
Clare,149,July,2008,County
Cork,413,July,2008,County
Donegal,172,July,2008,County
Dun Laoghaire,168,July,2008,County
Fingal,131,July,2008,County
Galway,155,July,2008,County
Kerry,177,July,2008,County
Kildare,207,July,2008,County
Kilkenny,87,July,2008,County
Laois,79,July,2008,County
Leitrim,63,July,2008,County
Limerick,102,July,2008,County
Longford,39,July,2008,County
Louth,157,July,2008,County
Mayo,158,July,2008,County
Meath,193,July,2008,County
Monaghan,41,July,2008,County
North Tipperary,133,July,2008,County
Offaly,63,July,2008,County
Roscommon,89,July,2008,County
Sligo,86,July,2008,County
South Dublin,73,July,2008,County
South Tipperary,103,July,2008,County
Waterford,68,July,2008,County
Westmeath,77,July,2008,County
Wexford,242,July,2008,County
Carlow,71,August,2008,County
Cavan,67,August,2008,County
Clare,81,August,2008,County
Cork,488,August,2008,County
Donegal,132,August,2008,County
Dun Laoghaire,168,August,2008,County
Fingal,153,August,2008,County
Galway,218,August,2008,County
Kerry,133,August,2008,County
Kildare,123,August,2008,County
Kilkenny,76,August,2008,County
Laois,80,August,2008,County
Leitrim,53,August,2008,County
Limerick,132,August,2008,County
Longford,31,August,2008,County
Louth,87,August,2008,County
Mayo,92,August,2008,County
Meath,112,August,2008,County
Monaghan,44,August,2008,County
North Tipperary,43,August,2008,County
Offaly,65,August,2008,County
Roscommon,71,August,2008,County
Sligo,43,August,2008,County
South Dublin,70,August,2008,County
South Tipperary,42,August,2008,County
Waterford,50,August,2008,County
Westmeath,62,August,2008,County
Wexford,164,August,2008,County
Carlow,33,September,2008,County
Cavan,90,September,2008,County
Clare,155,September,2008,County
Cork,392,September,2008,County
Donegal,272,September,2008,County
Dun Laoghaire,115,September,2008,County
Fingal,190,September,2008,County
Galway,278,September,2008,County
Kerry,260,September,2008,County
Kildare,133,September,2008,County
Kilkenny,70,September,2008,County
Laois,67,September,2008,County
Leitrim,50,September,2008,County
Limerick,126,September,2008,County
Longford,37,September,2008,County
Louth,58,September,2008,County
Mayo,137,September,2008,County
Meath,143,September,2008,County
Monaghan,45,September,2008,County
North Tipperary,51,September,2008,County
Offaly,74,September,2008,County
Roscommon,59,September,2008,County
Sligo,103,September,2008,County
South Dublin,114,September,2008,County
South Tipperary,82,September,2008,County
Waterford,45,September,2008,County
Westmeath,100,September,2008,County
Wexford,127,September,2008,County
Carlow,49,October,2008,County
Cavan,62,October,2008,County
Clare,102,October,2008,County
Cork,393,October,2008,County
Donegal,195,October,2008,County
Dun Laoghaire,127,October,2008,County
Fingal,274,October,2008,County
Galway,165,October,2008,County
Kerry,223,October,2008,County
Kildare,161,October,2008,County
Kilkenny,64,October,2008,County
Laois,74,October,2008,County
Leitrim,47,October,2008,County
Limerick,134,October,2008,County
Longford,45,October,2008,County
Louth,143,October,2008,County
Mayo,160,October,2008,County
Meath,118,October,2008,County
Monaghan,33,October,2008,County
North Tipperary,73,October,2008,County
Offaly,50,October,2008,County
Roscommon,73,October,2008,County
Sligo,75,October,2008,County
South Dublin,157,October,2008,County
South Tipperary,57,October,2008,County
Waterford,45,October,2008,County
Westmeath,76,October,2008,County
Wexford,119,October,2008,County
Carlow,72,November,2008,County
Cavan,86,November,2008,County
Clare,144,November,2008,County
Cork,435,November,2008,County
Donegal,200,November,2008,County
Dun Laoghaire,76,November,2008,County
Fingal,187,November,2008,County
Galway,209,November,2008,County
Kerry,144,November,2008,County
Kildare,112,November,2008,County
Kilkenny,112,November,2008,County
Laois,61,November,2008,County
Leitrim,40,November,2008,County
Limerick,127,November,2008,County
Longford,55,November,2008,County
Louth,187,November,2008,County
